file_name,gt_lines,ocr_lines,matched_lines,mean_cer,mean_wer,mean_char_acc,mean_word_acc,ocr_tesseract_psm1,category,recognition_rate
0001.jpg,6,8,4,0.3518518518518518,0.4166666666666667,0.6568627450980392,0.6666666666666666,"['  ', '   ', 'ÄCHCAFE—&', 'aHTSFELER', 'DIENSTAG 21.12.', 'OLOF-PALME ZENTRUM —', '19 UHR', 'WIR FREUEN UNS AUF EUCH!']",noisy,0.6666666666666666
0002.jpg,7,5,3,0.5714285714285714,0.5714285714285714,0.4285714285714285,0.4285714285714285,"['#SOLIDARITÄT MIT ALLEN!', 'BERICHTE: WIE WAR DIE BERLIN-DEMO WIRKLICH?', 'Dresden, Großer Garten, 8.8. um 16 Uhr', 'CT', ' ']",noisy,0.42857142857142855
0003.jpg,11,16,5,0.5895388395388396,0.6212121212121212,0.4141001855287569,0.2727272727272727,"['Gedenkkundgebung und', 'antifaschistische Demonstration', ')) Mahnmal Levetzowstraße, Berlin-Moabit', '9. November', '  ', '  ', '18:00 Uhr', '  ', ' ', '& [Sj', 'WWIEDER GEBGHEHEN.', '|', ' ', '85 Jahre nach den Novemberpogromen;', 'Solidarität mit den Opfern des', 'Onovember.blackblogs.org deutschen Antisemitismus und Rassismus!']",noisy,0.45454545454545453
0004.jpg,11,5,1,0.9435736677115988,1.0,0.0594405594405594,0.0,"[' ', 'Ö', 'A JEDEIR IST o-LS%WILLKQMMENLÄ', 'S', ' ']",noisy,0.09090909090909091
0006.jpg,8,4,2,0.79,0.7916666666666666,0.20625,0.125,"['Aul', 'DEMO GEGEN GENTRIFIZIERUNG', 'Na 2022 / 15:00 UHR', '   ']",noisy,0.25
0007.jpg,6,1,0,1.0,1.0,0.0,0.0,[' '],noisy,0.0
0009.jpg,15,3,0,1.0,1.0,0.0,0.0,"[' ', "">|\\g|_ASÜI:'GEI5!REM"", ' ']",noisy,0.0
0010.jpg,4,7,4,0.1369318181818181,0.8333333333333334,0.8595959595959596,0.1666666666666666,"['  ', ' ', ' ', 'GRU#@ESETZ', 'MEDITARION', '02.05/2020 15:30 UHR', 'REWELBLIESKÄASTEL']",noisy,1.0
0011.jpg,7,11,0,1.0,1.0,0.0,0.0,"['  ', '  ', ' ', '   ', '  ', '   ', 'Z Am II |anuar 2025 al', '\\A 5E S 5', 'C „55*_«‚w nach Riesa ; f jg% A', '(""‚l ?\'?;v„„-', '  ']",noisy,0.0
0012.jpg,10,17,4,0.6271708683473389,0.6547619047619048,0.3766812865497077,0.3,"[' ', ' ', ' ', ' ', ' ', '@@äﬁ OKRATISCHER', 'www.nichtohneuns.de', '!_ in Berlin 29. August 20202 Großdemo mit bis zu 5.000.000 Teilnehmern.', ' ', '    ', ' ', 'Saturday, the 29.8.2020', 'Berlin invites Europe .', ' ', ' ', ' ', ' ']",noisy,0.4
